NC_1	NC_2	NC_3	NC_4	NC_5	NC_6	Tomato_1	Tomato_2	Tomato_3	Tomato_4	Tomato_5	Tomato_6
23	0	21	20	38	21	0	0	11	0	20	0
14	20	26	12	0	15	13	9	10	16	9	9
32	30	34	0	17	25	0	0	0	13	0	0
24	0	76	31	13	7	0	0	0	0	0	0
17	28	28	16	24	27	3	0	0	6	2	0
11	3	0	12	8	0	11	32	12	20	14	27
41	27	26	32	0	0	0	0	0	23	0	0
23	23	25	15	27	8	0	0	17	0	10	0
22	23	22	19	15	13	0	7	10	11	0	6
13	17	29	9	22	26	11	0	0	0	21	0
50	0	28	0	21	19	0	0	9	20	0	0
30	30	14	23	8	23	0	3	5	9	0	2
7	11	12	0	11	10	17	19	19	15	14	12
24	21	0	26	34	34	0	7	0	0	0	0
0	27	24	50	0	10	9	0	16	0	10	0
32	0	23	0	0	0	16	24	0	50	0	0
0	0	0	0	0	0	25	24	22	13	38	23
0	0	0	0	0	0	19	16	23	33	25	29
12	84	3	9	3	26	0	0	0	7	0	0
10	0	0	0	10	0	25	34	0	11	24	30
0	0	0	0	0	0	41	17	16	26	27	17
36	44	0	0	41	22	0	0	0	0	0	0
0	99	16	0	6	0	0	0	0	22	0	0
0	0	0	18	22	0	16	20	17	16	19	14
22	22	21	20	12	0	0	12	16	16	0	0
14	12	28	11	10	2	9	12	14	13	5	11
0	6	0	6	0	0	19	20	24	17	22	27
39	11	22	22	9	17	5	0	8	0	7	0
22	32	30	23	21	0	0	0	0	0	12	0
14	23	16	8	45	9	5	0	0	9	11	0
24	10	19	27	26	12	5	0	8	0	0	7
17	16	15	14	12	7	7	13	9	12	6	10
7	35	20	11	23	12	8	0	6	0	8	8
0	0	33	0	22	37	0	0	24	22	0	0
0	0	0	0	0	0	0	0	138	0	0	0
16	17	0	24	13	6	12	0	9	11	17	12
0	7	20	11	19	65	5	0	0	9	0	0
21	24	22	17	14	10	0	6	3	14	4	0
0	0	0	20	0	0	17	0	0	30	43	25
24	18	30	28	19	0	8	0	0	7	0	0
10	54	18	17	8	24	0	0	0	3	0	0
0	0	8	0	9	0	10	34	20	24	13	16
0	0	0	0	0	0	0	0	0	0	134	0
28	0	23	24	12	12	0	0	17	10	7	0
22	0	16	26	35	20	0	0	0	0	13	0
22	27	19	30	12	7	7	8	0	0	0	0
19	17	9	20	15	6	0	8	10	11	7	9
0	0	0	5	0	0	15	31	12	13	29	26
23	19	18	27	16	0	0	15	0	12	0	0
15	20	17	16	26	0	8	0	13	11	4	0
26	10	12	8	32	14	0	0	10	9	8	0
20	14	33	28	17	12	0	5	0	0	0	0
22	14	14	13	16	0	6	0	8	16	13	6
51	0	0	0	0	19	0	19	15	0	23	0
19	22	16	20	17	10	0	0	6	9	0	8
18	17	18	18	25	16	0	0	0	7	5	3
7	38	10	6	31	25	0	0	0	10	0	0
24	21	17	17	5	9	0	7	9	17	0	0
14	19	21	17	20	15	0	0	0	0	11	9
6	5	12	9	8	8	12	14	8	12	11	21
28	0	23	30	11	0	0	11	0	0	10	12
22	38	16	19	0	14	0	0	4	12	0	0
22	20	25	18	12	14	0	14	0	0	0	0
32	14	0	22	20	6	6	0	8	7	5	3
31	25	20	0	17	19	0	0	11	0	0	0
24	31	30	24	0	14	0	0	0	0	0	0
0	50	0	0	0	29	0	0	19	0	0	25
0	9	14	19	0	0	18	0	18	17	11	17
36	9	0	0	30	14	0	10	14	9	0	0
24	13	17	27	10	0	0	0	0	8	11	12
11	11	13	14	14	9	8	0	11	11	13	7
0	9	18	10	18	9	0	18	19	8	0	13
0	6	16	0	16	0	0	15	10	46	0	13
20	24	22	32	0	23	0	0	0	0	0	0
18	19	18	35	31	0	0	0	0	0	0	0
0	0	0	0	0	0	52	14	17	4	15	19
23	23	19	32	0	11	12	0	0	0	0	0
19	9	22	25	0	12	0	12	0	11	10	0
11	19	34	8	13	16	0	0	0	19	0	0
6	0	0	11	37	0	28	0	21	0	0	17
5	8	0	8	7	0	9	14	12	22	13	22
0	0	0	0	0	0	17	31	17	0	0	55
0	0	0	0	0	0	11	31	24	10	22	22
0	0	0	0	0	0	0	31	79	5	0	5
