Genero	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
index	Tomato_6	Tomato_5	Tomato_4	Tomato_3	Tomato_2	Tomato_1	NC_6	NC_5	NC_4	NC_3	NC_2	NC_1
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Deminuibacter	 63	106	 48	 47	 47	103	 15	 28	 14	 17	 42	 28
d__Bacteria;p__Bacillota;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;__	14	17	31	34	38	29	16	23	71	79	56	67
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Margalitia	 39	103	 88	 83	 43	 33	142	104	 87	 94	 81	 94
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;__	 14	327	124	 94	 90	 73	242	221	173	114	121	123
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinithalassobacter	67	16	 0	51	74	52	 0	 0	48	50	13	43
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Incertae_Sedis	181	211	219	245	201	196	162	399	290	179	364	292
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Parapontixanthobacter	 99	113	 31	 81	 89	 77	  0	 38	 49	 43	 41	 63
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__Incertae_Sedis	 62	 53	123	 70	 64	 46	 78	106	189	189	119	251
d__Bacteria;p__Myxococcota;c__bacteriap25;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 7	 6	13	22	 8	12	41	92	87	57	49	86
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__OLB17	22	16	20	36	48	27	23	55	41	22	27	40
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Incertae_Sedis	 89	 71	 89	 66	 57	 61	 54	 89	107	 65	 60	 87
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__	 95	 27	 44	124	 54	 60	 40	 22	  9	 46	 10	 23
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylosphaera	 53	 18	129	 79	 18	 38	 34	  9	  4	  7	  0	  3
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__211ds20;g__Incertae_Sedis	  6	  0	 45	  4	  7	  6	 42	113	 77	 60	 99	128
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__Thalassospira	 49	 27	 28	 79	  3	103	  0	 57	  0	 20	  0	  0
d__Bacteria;p__Bacillota;c__Bacilli;__;__;__	25	30	62	24	27	 0	61	81	70	69	62	71
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Incertae_Sedis	 44	 23	 60	 54	 66	 34	 29	 82	 72	 71	 52	102
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Levybacteria;f__Incertae_Sedis;g__Incertae_Sedis	 2	 0	30	18	 0	 7	52	97	75	67	33	88
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidithiobacillales;f__Acidithiobacillaceae;g__TX1A-55	  6	 10	 21	 10	 14	  0	 63	125	 77	134	183	 88
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;__	138	155	110	122	162	 89	126	115	141	176	179	222
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Deserticella	 31	 12	 34	 44	 37	 17	 35	 75	 96	103	 51	133
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Sandaracinaceae;g__Incertae_Sedis	 7	11	17	30	13	 9	13	11	70	18	20	72
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;__;__	 32	 68	 78	 97	 68	 38	204	228	206	116	103	205
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;__	 4	 7	 0	 4	 6	 3	20	53	36	26	96	55
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Incertae_Sedis;g__Incertae_Sedis	 74	 33	 85	 85	 67	 74	117	225	151	174	104	163
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__OLB13	36	12	36	25	20	11	17	35	23	23	20	23
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Incertae_Sedis	39	23	26	11	24	15	20	51	59	43	48	83
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leptobacterium	 17	 11	  5	  0	  0	 48	144	  4	  5	 16	 17	  0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17;g__Incertae_Sedis	 14	 29	 27	 14	 13	 15	 28	141	 37	 66	 90	 50
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Brevifollis	34	18	20	33	48	46	 0	37	18	21	 0	 7
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Schlesneriaceae;g__Incertae_Sedis	 5	14	23	 7	11	 4	27	82	56	52	63	65
d__Bacteria;p__Cyanobacteriota;c__Sericytochromatia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	52	31	34	43	19	34	34	49	64	53	69	81
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Incertae_Sedis;g__Incertae_Sedis	 0	 0	19	19	 2	 0	22	44	38	46	34	33
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__Incertae_Sedis	 21	 32	 27	 37	 55	 18	 38	 80	101	 73	101	150
d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__C0119;f__Incertae_Sedis;g__Incertae_Sedis	16	17	11	16	21	 3	41	44	65	71	46	55
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722;g__Incertae_Sedis	 13	 23	 48	 20	 37	 16	 80	 66	118	 85	121	109
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	55	53	48	30	 0	35	46	50	57	71	58	60
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Variibacter	  0	  0	 29	 30	  0	  4	  8	 34	128	 72	 69	108
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Incertae_Sedis	82	25	56	32	87	47	 0	28	12	28	 3	11
d__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;__;__	 6	 6	14	 7	 6	 0	28	20	42	52	51	76
d__Bacteria;p__Chloroflexota;c__Gitt-GS-136;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	 0	15	13	10	20	 5	28	22	32	29	63	57
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__S15-21;g__Incertae_Sedis	 4	 3	 8	23	 7	10	30	58	47	36	40	40
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Pacebacteria;f__Incertae_Sedis;g__Incertae_Sedis	 6	 5	21	 6	 5	 4	24	65	46	57	41	52
